,Gene ID
1391,ICAM4
1392,IRF8
1393,MRPL58
1394,ID2
1395,ID3
1396,IDE
1397,IDH1
1398,IDH2
1399,IDH3A
1400,IDH3B
1401,IDH3G
1402,IDI1
1403,IDS
1404,IDUA
1405,IFI16
1406,IFI27
1407,IFI35
1408,SP110
1409,IFIT2
1410,IFIT1
1411,IFIT3
1412,IFNA2
1413,IFNAR1
1414,IFNAR2
1415,IFNG
1416,IFNGR1
1417,IFNGR2
1418,IFRD1
1419,IGBP1
1420,IGF1
1421,IGF1R
1422,IGF2R
1423,IGFBP2
1424,IGFBP3
1425,IGFBP4
1426,IGHA1
1427,IGHA2
1428,IGHD
1429,IGHE
1430,IGHG1
1431,IGHG2
1432,IGHG3
1433,IGHG4
1434,IGHGP
1435,IGHM
1436,IGHMBP2
1437,JCHAIN
1438,IGKC
1439,RBPJ
1440,IGLC1
1441,IGLC2
1442,IGLC3
1443,IGLC5
1444,IGLC6
1445,IGSF1
1446,IK
1447,IKBKB
1448,IL1A
1449,IL1B
1450,IL1R1
1451,IL1RAP
1452,IL2RA
1453,IL2RB
1454,IL2RG
1455,IL3RA
1456,IL4R
1457,IL6R
1458,IL6ST
1459,IL7
1460,IL7R
1461,CXCL8
1462,IL9R
1463,IL10
1464,IL10RA
1465,IL10RB
1466,IL11RA
1467,IL12A
1468,IL12B
1469,IL12RB1
1470,IL12RB2
1471,IL13RA1
1472,IL15
1473,IL15RA
1474,IL16
1475,TNFRSF9
1476,FOXK2
1477,ILF2
1478,ILF3
1479,ILK
1480,IMPA1
1481,IMPA2
1482,IMPDH1
1483,IMPDH2
1484,INCENP
1485,ING1
1486,ING2
1487,CXCL10
1488,INPP1
1489,INPP4A
1490,INPP5A
1491,INPP5B
1492,INPP5D
1493,INPPL1
1494,INSIG1
1495,INSL3
1496,INSR
1497,EIF3E
1498,EIF3EP1
1499,IPP
1500,IPW
1501,IRAK1
1502,ITGA6
1503,IRAK2
1504,IREB2
1505,IRF1
1506,IRF2
1507,IRF3
1508,IRF4
1509,IRF5
1510,IRF6
1511,IRF7
1512,IRS1
1513,ISG20
1514,ITGA1
1515,ITGA3
1516,ITGA4
1517,ITGA5
1518,ITGA7
1519,ITGAE
1520,ITGAL
1521,ITGAM
1522,ITGAV
1523,ITGAX
1524,ITGB1
1525,ITGB2
1526,ITGB3
1527,EIF6
1528,ITGB5
1529,ITGB7
1530,ITGB8
1531,ITIH4
1532,ITK
1533,STT3A
1534,ITPA
1535,ITPK1
1536,ITPKA
1537,ITPKB
1538,ITPR1
1539,ITPR2
1540,ITPR3
1541,IVD
1542,IVL
1543,JAK1
1544,JAK2
1545,JAK3
1546,JARID2
1547,JUN
1548,JUNB
1549,JUND
1550,JUP
1551,CD82
1552,ANOS2P
1553,KARS1
1554,KCNA1
1555,KCNA2
1556,KCNA3
1557,KCNC3
1558,KCNC4
1559,KCND2
1560,KCNJ11
1561,KCNJ12
1562,KCNJ14
1563,KCNJ15
1564,KCNK1
1565,KCNMA1
1566,KCNMB1
1567,KCNN1
1568,KCNN3
1569,KCNN4
1570,KCNQ1
1571,KHK
1572,KIF2A
1573,KIF3C
1574,KIF5A
1575,KIF5B
1576,KIF5C
1577,KLK1
1578,KLK2
1579,KLC1
1580,KIF11
1581,KIFC1
1582,KIF22
1583,KPNA1
1584,KPNB1
1585,KPNA2
1586,KPNA3
1587,KPNA4
1588,KPNA5
1589,TNPO1
1590,IPO5
1591,KRAS
1592,KRT7
1593,KRT10
1594,KRT17
1595,KTN1
1596,LAD1
1597,AFF3
1598,LAG3
1599,LAMA3
1600,LAMA5
1601,LAMB1
1602,LAMB3
1603,LAMC1
1604,LAMP1
1605,LAMP2
1606,RPSA
1607,STMN1
1608,LASP1
1609,LBR
1610,LCAT
1611,LCK
1612,LCP1
1613,LCP2
1614,LDHA
1615,LDHB
1616,LDLR
1617,LEPR
1618,LETM1
1619,LFNG
1620,LGALS1
1621,LGALS3
1622,LGALS3BP
1623,LGALS8
1624,LGALS9
1625,LIF
1626,LIG1
1627,LIG3
1628,LIG4
1629,ABLIM1
1630,LIMK1
1631,LIMK2
1632,LIMS1
1633,LIPA
1634,LIPE
1635,FADS1
1636,LLGL2
1637,FADS3
1638,LLGL1
1639,LMAN1
1640,LMNA
1641,LMNB1
1642,LMO2
1643,PRICKLE3
1644,LMO7
1645,LNPEP
1646,VWA5A
1647,LPP
1648,LRMP
1649,LRCH4
1650,LRP1
1651,LRP2
1652,LRP4
1653,LRP6
1654,LRP5
1655,LRPAP1
1656,LSAMP
1657,LSP1
1658,LSS
1659,LTA4H
1660,LTA
1661,LTB
1662,CYP4F3
1663,LTBP1
1664,LTBP3
1665,LTBR
1666,LTK
1667,LY6E
1668,LY9
1669,CD180
1670,LY75
1671,LYL1
1672,LYN
1673,TACSTD2
1674,M6PR
1675,CAPRIN1
1676,NBR1
1677,MARCKS
1678,MXD1
1679,MAD2L1
1680,SMAD1
1681,SMAD2
1682,SMAD3
1683,SMAD4
1684,SMAD5
1685,SMAD7
1686,MAFG
1687,MAGOH
1688,MAK
1689,MAL
1690,MAN1A1
1691,MAN2A2
1692,MAN2C1
1693,MAN2A1
1694,MAN2B1
1695,MANBA
1696,MAP1A
1697,MAP1B
1698,MAP4
1699,MARK1
1700,MARK3
1701,MARS1
1702,MAT2A
1703,MATK
1704,MAX
1705,MAZ
1706,MBD1
1707,MBNL1
1708,MBP
1709,MC1R
1710,MCAM
1711,MCC
1712,CHST6
1713,MCL1
1714,MCM2
1715,MCM3
1716,MCM4
1717,MCM5
1718,MCM6
1719,MCM7
1720,CD46
1721,DNAJB9
1722,MDH1
1723,MDH2
1724,MDK
1725,MDM2
1726,MDM4
1727,ME1
1728,ME2
1729,MEA1
1730,MECP2
1731,MEF2A
1732,BORCS8-MEF2B
1733,MEF2C
1734,MEF2D
1735,MEIS2
1736,MAP3K1
1737,MAP3K3
1738,MAP3K4
1739,MAP3K5
