PGP1,GM23716,GM23720,GM25256,BXS0110,BXS0111,BYS0112,BXS0114,BXS0115,BXS0116,BXS0117,902,1601,1401,1001,901
3.364484667,3.459477333,3.754729333,2.684129,3.503605,4.306346,3.855680333,2.790217333,3.599398667,3.688352,3.54844952,5.902851333,4.434700333,5.482284333,3.869551333,4.163741333
9.831717,11.799205,6.104764333,7.752642667,6.184498333,5.324927333,5.259864667,6.187198333,7.460045667,7.763461333,6.59994544,5.562975667,5.325989,5.995767667,4.031063667,3.334087333
5.504094,8.018209,5.564331333,5.283909,6.484438667,4.151195333,7.420596333,5.008889333,3.289382333,6.508348667,5.60487304,7.231759333,9.381703,5.353549333,3.482268,4.919826667
3.712332667,3.429704667,3.603031667,3.357728667,3.065554,2.789133667,4.349911333,3.953585667,2.075708,2.380954,3.20433328,4.094496667,3.027454333,4.535027667,5.361012333,4.903107
6.715035333,9.956286667,3.657294333,4.347423667,3.014204,2.777229667,3.202659,4.761074667,3.564695333,3.777514333,3.7590112,3.242705333,3.315840333,3.563899667,2.052138333,2.076057333
5.321522667,4.249626667,3.474407333,5.101506333,7.968330667,7.108979667,7.069576667,7.402053,6.128671667,8.935489333,6.54490384,4.703595333,5.418839,4.911665333,3.794391667,6.436808
15.845325,14.42120067,11.093597,12.78700033,7.858868667,8.447656333,10.66891633,10.82487367,8.393837,10.762811,10.4297828,12.675642,10.550581,12.40163933,9.447832,6.764235
12.54378967,13.82523967,9.830141,8.117835,7.850073,6.952390333,9.163053667,9.142413,6.591022,7.182192667,8.24696484,10.55723167,8.912687667,10.53514933,8.825204,7.502599333
15.62880733,9.887486,13.761988,13.73294233,13.664476,10.61468267,13.478352,18.06543533,11.588101,8.512977333,13.02238884,13.337633,10.70384367,17.05882167,20.85684933,20.086029
27.40384167,24.37410333,18.84671467,23.47261833,16.39538567,17.18181067,20.22338967,23.991516,22.59366933,17.43213533,20.2218666,23.581959,20.00737367,24.125769,27.52499167,20.396685
11.95456333,10.353535,11.38162867,12.02969133,10.51618933,10.55925467,14.47292133,12.95715167,9.010520333,9.388348,11.38423384,13.165373,9.195321667,12.78835333,13.65544967,13.600326
8.331762,9.507433333,8.2971,8.881297,7.173864667,6.932566,7.728857333,8.240472333,6.317916,6.056898333,7.43594244,7.142564667,6.251982,7.731215,7.974092333,8.234431
6.844432667,4.347151667,5.339441333,5.537653,5.157523667,5.253608333,5.839546667,7.184878667,5.400231,5.443973,5.74365936,6.406076,4.460849333,6.70592,7.092923333,7.726805
9.669830333,12.83833467,2.898292333,5.675177667,3.957111,2.601135333,4.114294,5.664490333,4.573888,5.890765333,4.74449312,8.985379667,7.140989333,4.725879333,2.440668667,0.905236
17.49065033,19.78351667,18.56543833,17.763136,24.009749,19.323578,20.067025,16.798921,17.039012,21.816782,19.32734736,19.911865,17.44976433,20.39214,21.249486,23.12196733
6.612201,6.049937,5.148319667,5.336032,4.775485667,4.241952667,5.303605667,5.398177667,3.892577,4.648843,4.87492,6.024248667,5.131381667,5.132977333,4.987898667,5.499294333
6.254924333,4.826688667,6.622524333,5.808492667,6.437962,6.540679333,7.134058,7.13803,4.906047333,4.387520333,6.02520468,4.612143333,3.327333,7.377168,9.457068333,9.434143
7.660753,7.985787,6.877411,6.920576667,10.485547,9.126561333,9.345756667,7.580752333,10.00179833,10.30553933,8.9900996,10.28677633,9.087887,6.988263333,6.358789333,9.455961333
4.654029667,6.908751667,4.360653,4.970009333,4.040336333,5.180927333,3.110148333,2.588214667,2.745176,3.265791333,3.80697276,1.653252333,2.934305667,3.153621333,3.111481667,2.421118667
6.527211,5.404899667,6.252059667,5.713062,4.776106333,4.135703333,6.345387333,6.766426667,4.757995,4.704763333,5.51227592,4.867784667,4.755251667,5.376523,6.162181,5.523623333
258.1819533,103.2098503,142.2329327,124.0892753,159.8077197,103.6943567,164.5252277,121.5219807,89.70763767,233.4670787,147.4623294,131.8645707,190.9927977,120.4542223,99.27045867,211.1940467
3.312093333,6.049433333,8.467722667,5.262845667,8.612842,7.913243333,8.734308667,5.429116,2.438104333,4.433356,6.28679076,10.13380133,4.627157,9.045706333,14.18606233,20.03913467
5.232844333,6.152824,4.081099,4.210118667,3.061544667,1.941256667,4.018761667,4.552665333,3.282958333,3.1374,3.69080584,4.069613,3.600472333,3.713705667,3.868432,4.033722
52.62764667,30.33953233,58.590511,44.78523733,84.89541367,66.79343933,78.093369,66.73394167,55.10442767,61.92000933,63.37963044,36.820799,38.76360567,73.40462333,87.911549,98.42958367
29.02238933,31.24402233,35.57910933,30.84756667,37.90510433,32.04312633,36.86186433,31.41911333,32.67645667,34.77535667,33.67810524,34.80928,33.48504167,37.03373067,36.68828367,36.905716
24.77428233,16.18390867,13.788085,13.22381167,14.20520833,9.258241333,16.682727,17.493296,10.684841,11.789017,13.92288452,19.396532,17.68353767,19.13699467,17.61320633,15.340823
5.533223667,6.638172,6.201149667,4.049317333,7.234781667,6.866401667,6.089224,5.456548333,6.27542,5.55849,5.94142952,4.321634667,4.459852333,5.409630667,5.423455333,4.519922
3.690899,2.884505667,2.115967,3.121589333,1.911537,2.045176667,2.48235,1.241779333,1.658516667,1.484349667,2.00997176,2.081799333,2.165021333,2.860911,2.110718667,1.815013333
8.075850667,6.112176667,8.98787,7.994753,8.700909667,6.268114,10.14954867,7.349427667,3.721653333,6.139285333,7.4330336,6.870545333,6.075151,8.706329,9.000593333,10.408676
7.287603333,5.572968,7.261648667,7.307105667,12.163899,11.21789067,9.979815,8.516619667,7.564472333,7.880906,8.82671896,7.132592,6.339262,9.056037667,11.67316567,11.39019667
673.083587,506.273825,571.619337,685.7746183,621.66639,534.933823,645.591298,586.8676423,399.9790077,479.5052663,578.5839253,702.5992957,596.5009203,698.687406,772.909015,729.0024303
3.857877,3.316355,2.468257,2.308606667,1.648699333,2.594675,3.228734333,2.646259333,2.088957667,2.531519333,2.437931,3.104217,1.925140667,1.777717333,3.637512667,3.308865
4.251237667,4.047356,3.944171667,5.205106,2.623416667,1.683207333,2.731653333,4.523402333,3.218439,3.747758667,3.554727,0.694902,2.103796333,3.084651,1.416858,1.524695667
1.90031,2.097624667,2.284442,1.908713,2.445381,2.293002333,2.392126,2.706285667,2.550748,3.196437,2.47044452,2.438063333,2.774891667,2.640429667,1.453241333,2.652847667
13.35362367,14.011177,14.41617667,9.704298333,10.50721033,8.710254667,14.79541533,12.061459,8.531832,10.17427933,11.2558424,11.18502,11.22794233,12.407066,13.02073033,13.25681633
4.275841333,2.985059667,3.378762333,3.058064667,3.052247,2.913636667,2.898325333,3.134737,2.774010333,2.588848,3.02234676,3.144873333,2.540173667,3.646163667,5.223140667,3.866027
5.822776333,4.974055333,5.621561333,4.845911,7.943250333,7.176877,7.771463667,6.972074333,6.752148667,6.531282333,6.59396856,6.853844333,8.926548,7.443698667,5.162973667,5.925017
3.140556,2.940693333,2.974137667,2.493573,1.990032,2.341359,2.95945,3.085706333,2.361404667,1.575965667,2.47254208,2.869548667,2.116918333,2.898376333,3.430489,2.719942333
11.16776767,9.924288333,11.621304,9.927547,9.828626333,9.123595333,11.71073933,12.07387867,6.957900667,8.032270333,10.04354124,10.06043933,9.092152333,10.43559167,12.40637167,12.409059
16.35655367,14.52545467,11.227367,12.71848433,11.68954967,9.759400333,15.89494267,16.81406167,11.00809033,10.89705767,12.830928,11.29631767,13.297343,14.01996933,13.559495,12.960224
5.127413333,5.759197,3.425420667,3.778001667,3.927266333,2.722031667,2.968837333,2.419414333,2.384704667,2.644687667,3.05527496,3.012855667,3.574134667,3.859919,2.848527,2.225493333
7.091384333,3.837016,1.555124333,9.551969667,11.649069,2.688312,2.844302333,5.047286333,6.609916,8.667465,5.93420632,0.275984667,2.991462333,4.50571,0.784782,2.532371
17.55769167,23.03050233,18.40203067,15.789464,12.40215567,15.58188767,15.18384867,15.80877433,16.094789,13.11232567,15.24359848,22.03094567,13.914782,18.60456967,18.24019733,15.523642
7.95311,7.05756,7.434543667,7.518847,6.012987,7.948081,6.700652667,4.633239667,4.802849,5.693194667,6.30673572,7.837178333,8.219751667,6.575052,5.419467,4.887117667
4.620110667,3.719164333,3.350645333,3.612992667,3.774941667,2.919647,4.369369,3.389011,2.756845333,2.587788,3.3491056,5.147422,3.631676667,5.403941667,5.383692,4.868055667
10.450699,10.145213,8.594837333,8.125382,6.184939667,6.812357667,7.166314,6.341971,6.297536,5.687315667,6.9643144,11.55469567,6.128220667,8.376668,8.794637,7.643215
1.858879667,2.441485667,3.821877333,2.585632333,3.992188667,3.944535667,4.049724667,2.940525333,2.754707333,3.217342,3.35228136,2.059809667,2.575454667,2.818267667,2.790179,2.829666
1.273038333,1.728772333,2.792510667,1.793364667,2.462799,2.934994667,2.998486,3.020893667,2.226505667,2.301239333,2.56391736,1.814258,2.473484,2.218455667,2.476344333,1.766280333
4.270255667,3.602295,4.452323,4.276435667,3.458454333,3.110180667,3.940622667,4.871231333,3.862756333,3.109092,3.90917776,3.298217,2.537420333,4.110643333,5.116747667,4.653809667
0,0,0,0,0,0,0,0,0,0,0,420.323466,0,0,788.2262873,480.559078
5.464625333,4.049336333,4.876985333,7.666549,9.416973,6.205600667,11.31620233,7.849587333,3.987023,2.680459667,6.59491932,10.53474167,3.734738,11.98210867,20.88996633,21.75248367
15.158372,13.871116,12.49218567,14.005946,13.39711167,14.71720067,13.157163,16.81897233,16.42622733,14.22154,14.55882468,14.16574,11.537109,12.16497867,12.35828567,11.134618
24.57895833,17.47938667,20.50064767,24.21313567,21.32329067,23.476093,24.606579,25.413574,18.83321967,15.55699733,21.59545596,24.59455167,16.07774967,29.40143867,33.212646,27.57115833
4.170708,4.138797,5.088883667,3.954505667,3.792197,4.021311667,4.773155333,5.992449,3.930951333,5.482321667,4.67601124,2.608579,2.632329667,3.976154333,4.957282,4.093359333
15.081331,11.19954767,13.44021633,13.01486233,14.12842167,14.50520533,16.090443,14.59292033,12.87395067,9.514185,13.398299,13.229653,10.44318033,15.1548,21.044734,20.196278
33.15065133,38.36641533,40.97196833,33.63806567,38.30020033,41.01453767,40.467967,46.09431667,56.158371,40.71797067,42.56010656,35.53343533,32.03514267,37.60193833,38.69000833,37.273347
5.591486333,4.574700333,3.859135333,5.451287333,4.854064667,3.904802,4.694265667,5.066762333,6.183775333,4.589680667,4.98399812,5.098335333,6.645162333,6.211005667,6.013898333,3.517843667
13.749358,8.550236,8.384069333,7.760904667,8.775545333,6.937645,9.368136667,9.128933,6.907935333,4.668935,7.78645272,10.173694,7.89263,11.188086,13.27629367,10.89784933
6.109169,6.843319333,5.528552667,5.903365,9.916600667,8.191131333,7.166834333,6.292518333,6.323496,8.108231333,7.17440424,4.81712,6.139933,6.267319,6.666275333,7.425587667
8.594427333,8.642673,8.080437333,7.996756,6.203010667,5.193251,8.398786333,7.511423333,6.119096,5.497524,6.96495944,7.31642,7.376604667,7.584933667,7.903379333,7.467177667
13.36773667,12.36267767,9.265332333,8.370416,7.623684,6.601147667,10.12043933,10.75575933,8.553313,7.283748333,8.7018874,10.99937933,9.015587333,10.48450867,11.43228267,9.529866667
3.193861333,3.515737667,2.464821333,3.645372667,4.271108,3.891472667,3.364972333,4.03023,3.837552,1.875883,3.385265,3.272051333,3.230546,3.983746667,3.329482,4.485383667
6.898881,6.614051333,6.380634333,6.678215,6.977467,7.778191,7.850816667,6.941927667,9.172519333,9.033246667,7.78649556,6.593388667,5.78033,6.36941,7.304081,6.360282667
1.156889333,1.078311667,1.267576667,0.489247,0.892385667,3.641713,9.473389667,7.715562,9.412835667,2.933108,4.52353192,10.50822633,9.93806,8.918728667,10.32972467,1.05726
14.358841,11.129435,13.56994067,10.72996133,10.54709133,9.925147,12.98374667,12.91763367,9.878013,9.373845,11.43456804,11.94525567,9.861008333,12.99262233,14.09668633,11.53106633
5.630898,4.883449667,6.275403,6.204076333,7.578385667,8.719986,6.757947333,8.099314667,7.705139333,7.073313667,7.12403316,4.875637,5.998540333,9.260165333,6.861185667,10.25263633
9.796905667,14.51614567,8.960590667,8.785338333,10.610567,10.57846967,11.11441067,9.607882,8.347648667,10.03098033,9.72965752,9.7408,11.120671,10.01600533,6.733779,7.998618667
9.097708,11.77089867,9.456363333,8.952532333,10.41484433,10.309742,9.628948333,8.729313,8.691237,9.014061333,9.26451924,9.662278667,9.225230333,9.332445667,6.921543333,7.197087333
1.847175,1.124259667,2.099255,2.389790667,4.168089667,4.373990667,4.061114,3.515189,3.104017,1.718079,3.09864004,1.156407667,0.959871667,2.728589,4.472280333,4.528040333
10.235187,6.300884,8.812839333,8.571265667,7.45023,8.924436333,9.469039667,9.638407,8.583972,7.034917,8.56984108,8.544866333,7.713044667,10.19860867,13.70922633,13.044695
12.51495233,11.09183167,8.123481667,7.018932667,13.77636333,10.99713333,12.18193167,9.274419333,9.938892,14.54701033,10.80053212,8.839735333,12.756806,8.624826667,11.778034,14.066752
86.79332733,80.729423,63.932104,77.608366,75.30427233,78.29287667,75.59693933,87.722343,100.7076073,75.039019,79.72125572,64.079709,62.72548233,84.15835767,85.62059067,58.27624167
23.399323,21.56964933,18.20801667,15.11628233,13.41184833,14.19482433,17.401374,14.44766133,12.226196,10.97943233,14.7550134,22.36655767,15.750225,19.047297,23.037918,17.48074667
2.617864667,1.371085333,1.441245333,3.462991667,2.461092333,1.625542333,2.979853333,3.026753,2.458578667,3.667417333,2.68814064,1.822597667,2.456863333,4.074604667,2.569361,2.492304333
