Short Gene Name,PGP1,GM23716,GM23720,GM25256,BXS0110,BXS0111,BYS0112,BXS0114,BXS0115,BXS0116,BXS0117,902,1601,1401,1001,901
GSTM4,3.981866,1.2906946666666665,3.05039,2.6416573333333333,5.312517333333333,5.181143666666666,5.0742970000000005,4.9261550000000005,3.79027,3.128527666666667,4.06618732,3.2648623333333333,4.140927666666666,5.500737,5.2221400000000004,5.064498333333334
RALYL,6.410214333333333,9.605892666666668,0.7601006666666666,2.325016666666667,1.3321006666666666,0.940179,1.3709063333333333,2.5658936666666667,1.7552436666666666,1.8778673333333333,1.7379520799999997,1.651491,2.6483326666666667,2.0418706666666666,0.083698,0.3561376666666667
ZBTB8OS,7.060552666666666,5.505613666666666,6.173996333333334,5.333637333333333,5.206029333333333,4.674799,5.346452666666667,6.7722739999999995,5.630915333333333,5.821660666666666,5.692040360000001,6.1900503333333345,5.779065333333333,6.249456666666667,6.903569666666667,7.086167333333333
TIGD5,4.427106,4.547514,4.229523666666666,3.7050916666666667,6.089757333333334,4.809429000000001,5.074673333333333,4.326643,4.221086666666666,6.980681,5.00610652,4.5973370000000005,4.381372333333332,4.845669,4.293011,5.1985280000000005
FAM222A,3.272862333333333,5.0319259999999995,5.217528,2.361312,3.4938753333333334,3.276918,3.1281269999999997,3.250947333333333,3.6867443333333334,5.574900666666667,3.771444079999999,2.160315333333333,2.8324656666666663,3.229249333333333,1.8505989999999999,3.0673446666666666
UROD,19.965283333333335,16.181852333333335,22.797107999999998,20.813694333333334,29.377163333333332,24.630291333333332,25.748258333333336,20.822684,20.764036,19.502523666666665,22.651563880000005,17.71332466666667,20.660347333333334,24.278625333333338,30.34036066666667,34.326175
TSTD1,6.878369666666667,4.398158,10.536261666666666,9.792735666666667,27.35383566666667,19.061201666666665,19.168659333333334,19.908481666666667,14.909852666666666,17.479745666666666,16.87795832,7.134029666666666,4.681692333333333,10.959293333333333,19.957369666666665,23.504521999999998
MINOS1,3.206725666666667,3.351566666666667,2.719878,2.700688,3.3408533333333335,2.872483666666666,3.1759350000000004,3.611269333333333,3.5184459999999995,3.042405,3.1563565200000006,2.4349273333333334,2.297727,3.4099376666666665,4.059253000000001,2.7342226666666662
ATP1A1,19.022080000000003,20.854622333333335,32.424063999999994,23.408464,27.283979666666667,21.721531999999996,27.564104,23.499103,17.058427666666663,15.830833666666669,23.277361040000002,21.845690666666666,13.173177,25.194473333333335,41.95324466666667,43.98549533333334
FASN,25.024398333333334,29.404058000000003,23.566643999999997,21.508230666666666,27.249920666666668,27.687451,32.57071633333333,24.549335666666668,28.164306999999997,43.824108333333335,28.647834679999995,35.09053866666667,36.101849,24.626231666666666,14.850540333333333,23.66670566666667
POFUT2,7.655421333333333,7.213528666666666,10.897875999999998,10.469860333333333,19.009324666666668,14.444458666666668,14.685106666666668,11.508333333333333,12.399046,10.236835666666666,12.65469476,10.084293,9.931376333333334,11.953809333333332,14.037550666666666,15.832098666666667
ZNF544,7.417307666666667,6.311372666666667,6.200126333333333,4.991042333333334,5.159132333333334,4.611135666666667,6.636370666666667,7.000116333333334,5.331663333333333,5.245828666666667,5.7162774,5.613969333333333,5.217360666666667,6.041291666666667,6.189356,6.4929120000000005
TCEAL7,33.457372666666664,29.784608333333328,17.75957166666667,24.353668666666664,16.27523,12.164732666666666,16.430735666666667,18.923794,21.854106333333334,29.226569333333334,20.437413799999998,27.326492,17.26912366666667,23.732364333333333,17.773636666666665,9.628905333333334
CDH11,36.23270933333333,22.891398,35.093333666666666,46.48134000000001,57.251674333333334,40.04828933333334,62.93539233333333,51.73932966666666,20.996638333333333,19.501308666666663,40.91359995999999,26.249509999999997,13.908565333333334,51.332575999999996,89.97949066666666,83.07848266666667
IMPACT,7.685752999999999,5.538694666666667,5.593901333333332,7.057901333333334,6.071040666666666,4.714492,7.250207,7.401644,4.203319,4.012740999999999,5.809499400000001,5.207276,4.954345,8.198904333333333,8.612255,7.971191999999999
CDON,9.064961333333335,6.904707666666667,10.777309,8.098749666666667,7.852815,7.823407666666667,11.954987666666666,10.333682333333334,5.381188666666667,7.651458666666667,8.833814519999999,15.501575666666666,9.706954666666668,13.061368666666667,15.703924,15.36837133333333
TMED3,33.130603666666666,26.816655666666666,26.430352666666668,34.26474066666666,49.199632666666666,37.88986133333333,49.372939333333335,39.502783666666666,25.758406666666662,28.099304333333333,36.02405736,43.46731533333334,48.45890633333334,44.11615066666667,47.191012666666666,57.02299300000001
MYBBP1A,4.9543360000000005,4.435876333333334,4.126037666666666,4.467779666666667,6.8255799999999995,6.303793,7.184517333333333,4.439900000000001,3.980453333333333,4.619050333333333,5.13463328,5.943454666666667,5.347651666666667,6.100111333333333,6.319314666666667,5.673398
TAOK3,4.090252333333333,6.086825666666667,4.033425666666667,3.449897333333334,2.7910516666666667,2.0346723333333334,3.0535953333333334,3.1736376666666666,2.6697243333333334,2.758312666666667,3.11114616,3.1779463333333333,3.4125460000000003,3.0407326666666665,2.7540286666666667,2.573676666666667
IFT57,9.664164999999999,7.393432999999999,7.839282666666667,7.339944,8.398414666666666,6.105345,9.030898333333333,9.463918999999999,8.568611333333333,7.361464666666666,8.095074599999998,7.227810666666667,6.632308000000001,10.038073666666667,12.416846999999999,8.913009333333333
FDPS,36.151199,34.504067,24.809316,22.469189999999998,28.102047,26.609841333333335,31.280844000000002,26.682691333333338,35.969786666666664,40.65300833333333,29.515895239999995,28.368479000000004,28.711373,25.973451,21.990430333333332,20.33663633333333
MRPS34,22.762482666666667,26.21181,25.659670333333334,25.274269333333336,34.46094766666667,25.54762766666667,31.746945333333333,27.95918633333333,27.383208666666665,35.90159966666667,29.418089160000005,31.061280999999997,33.63553666666667,25.852389000000002,25.437405,34.852916
PHLPP1,5.126790333333333,6.4010299999999996,5.387914666666667,4.546877,3.9442150000000002,3.933054,5.184801666666666,4.867748,3.890049,5.461570666666667,4.775901639999999,6.651208666666666,6.420935333333333,4.997554666666667,4.743349666666666,4.5079460000000005
TRIM21,3.3152400000000006,2.592728,4.4012839999999995,3.1611859999999994,4.515880999999999,4.922262666666666,4.8068013333333335,3.5250306666666673,3.094026,2.6746269999999996,3.8296627200000004,3.812489333333333,2.6446023333333333,4.3425796666666665,5.115486,4.607155666666666
