Short Gene Name,logFC,logCPM,PValue
DCTN5,0.324236317,4.919908035,0.030693554
MRPS33,0.168587869,4.702812,0.310161504
COPS8,-0.311666661,5.182952416,0.052944899
TIMM9,-0.004277809,5.781673249,0.991337615
BMPR2,0.014208059,4.983329713,0.948201567
QDPR,-0.001922019,5.645981229,1
NR2F2,0.28407957,4.653316831,0.120278932
TMEM151A,-0.017841345,8.500911381,0.919160116
KLHL8,-0.763815916,4.489962462,0.005460988
AAMP,-0.301928611,7.169078217,0.205652696
SF3A3,-0.033172859,6.372138836,0.706229447
C14orf159,-0.045039612,5.384704356,0.72117666
GPR89A,-0.148251391,10.47949983,0.170614355
MRRF,0.004322776,4.999400102,1
NBAS,-0.028379622,4.829844315,0.849384105
PPFIA4,0.074703095,5.137901535,0.65114179
LOC100288069,0.109005302,5.43075364,0.392243316
TBPL1,-0.996272777,4.59080442,0.000446551
TMED7,0.381296615,5.192455915,0.003870611
PRKACB,-0.169844138,5.841262141,0.213835484
COX17,-0.241726432,5.202712507,0.065734495
ACAD11,0.263741583,6.592266228,0.016778577
PDDC1,-0.229516745,4.673270217,0.144301103
ACOX3,0.042013176,4.764815533,0.816644485
EHD1,0.063817805,4.996656021,0.685364227
UBE2O,0.268921264,4.789599862,0.117861523
CLMN,0.296216359,4.695572236,0.084542958
NUDT14,-0.296668871,4.679136062,0.066763756
HSBP1,-0.029706316,4.924197055,0.796637784
CAP1,0.229641689,7.52197446,0.03550068
ZFHX4-AS1,-0.073831216,5.462372879,0.636701267
PHF12,-0.088484821,5.213277173,0.516168767
LOC283070,0.173000483,6.428404689,0.292622401
DECR2,-0.12878793,5.247132589,0.283315035
LOC646719,0.182701197,5.171883485,0.245280237
MNS1,-0.043717334,7.699931982,0.784882933
AURKA,-0.12822643,5.81719317,0.232375168
PTTG1,0.086900092,6.516249057,0.647970383
SNAP91,0.154461526,4.587145592,0.461943977
EFR3B,-0.118986022,9.370975395,0.465472995
MPHOSPH6,-0.003791164,8.776724292,0.963279436
GMPR,0.918555076,4.554997809,0.004768576
SEMA6A,0.000959938,5.650315118,0.979979826
BAP1,-0.109431956,5.680269067,0.362350059
ATP10D,0.014905634,4.578733843,0.900169968
RARB,-0.239442146,4.957802264,0.087196872
SLC2A4RG,-0.141691374,5.567416039,0.202766091
CASK,-0.237767958,6.948469566,0.019132619
ARL14EP,-0.014156265,7.13916712,0.933305852
C7orf13,-0.053134123,5.427824434,0.577437289
PAN2,-0.145486913,5.185824978,0.471156759
FER,0.105181154,4.898842281,0.519653264
ACOT8,-0.325569402,6.819146186,0.073806583
P4HA1,-0.094145298,4.814266331,0.561594736
BAK1,-0.076445107,5.523210749,0.528124843
STRN3,-0.044073389,6.370509834,0.861232683
SNORA18,0.125107419,4.787509803,0.529419136
WNT2B,-0.054808519,6.124858493,0.61636441
SMPD3,-0.148385705,5.847182911,0.127478681
WEE1,0.226113411,5.058918764,0.163205482
CUL4B,-0.083107729,5.507751692,0.656427134
GLDC,-0.594001622,5.601390456,0.007838337
ANKRD36BP2,0.233420777,5.247186033,0.406707483
FNDC4,0.258066469,6.286176887,0.046420911
MIR1262,0.096055043,6.826714556,0.453827031
DDX17,-0.056721764,5.968025007,0.461961494
SLC35A1,0.044632452,5.141376068,0.701953322
CCNA2,0.749831205,7.87221526,0.36385424
MIER3,0.345556743,8.061440028,0.017285442
TSEN54,-0.124469549,5.357235082,0.408453145
MSH6,0.331919001,4.565458246,0.128317469
PCDH17,0.022270143,4.736466667,0.954425654
PPHLN1,-0.985263207,11.88879837,0.014657056
COL3A1,0.227364842,4.714500165,0.178537278
FAM20C,-0.12078252,6.130767426,0.290343709
AUP1,-0.165190079,4.383101049,0.601705328
RIMS1,-0.039831675,6.501528318,0.624060856
POLR2C,-0.062967994,4.713126121,0.757714119
RFXANK,0.277832153,5.77726588,0.236753279
APBB1,-0.012942482,5.005555359,0.954950986
MED16,-0.875890948,6.127456492,0.020371094
BST2,0.436808477,4.765054725,0.053345057
SMARCC2,0.352575516,4.540588182,0.219320221
LHX1,-0.457132967,5.646154978,0.078376821
SEMA6C,0.292076712,5.028077506,0.221225296
CTXN1,0.205051415,4.888541049,0.260252585
URI1,-0.087838622,4.933269888,0.698172441
GTF2I,-0.014672154,6.962947866,0.908528522
SRRM1,-0.005732952,5.477615223,0.964660861
DENND4C,0.020303201,5.879263916,0.932055959
ARID4A,0.101206507,4.829270803,0.485645454
UBE2G2,-0.392565457,4.943898537,0.056729302
BMP2K,-0.039301117,7.055411217,0.709642584
ROR2,0.263482235,4.780709861,0.10019057
CMIP,0.484526517,7.008503377,0.057601449
SNORD119,-0.054269503,6.58850909,0.534047628
SNORD49A,0.012958076,6.131072803,0.999276757
PEAR1,0.25704069,7.23181019,0.181875876
MORF4L1,0.112294225,4.625761913,0.545394389
INSM1,0.279962006,6.800386921,0.298879862
BSCL2,0.016671964,6.428726928,0.937591647
INTS12,-0.304312536,6.421140897,0.331653519
TTC4,0.037639932,7.152855061,0.933872618
IFI6,0.016192568,5.00214542,1
APOE,0.362251341,6.342399982,0.048460059
TTC1,-0.001613885,4.754451276,0.950165182
TMEM192,0.790866123,4.719803078,0.062893532
NMB,0.020276649,5.535675082,0.956617413
ZSWIM3,0.119330839,8.368323277,0.545498544
HSP90AA1,0.096864123,5.968267385,0.709315853
MVD,-0.10909791,6.013007027,0.397312497
NCBP1,-0.596531974,7.975845004,0.000547557
SLC2A1,0.065785241,4.786165227,0.657780841
RBM33,0.106257809,4.83597297,0.487430011
MTMR9,-0.041029382,4.679848639,0.926559292
MIR1248,-0.001700079,5.145254532,0.96320557
DCP1A,0.051826716,5.089921734,0.730999285
URB2,0.044186151,6.730479864,0.802061899
SUPV3L1,-0.113516062,7.595644708,0.527574104
TBCB,0.070255364,5.717930002,0.443318092
ODC1,0.17112019,5.483993616,0.141867131
KANK4,-0.288009172,4.493743275,0.286384691
MEIS2,0.20741258,5.047844217,0.701916023
ZSCAN12,0.089627917,5.553348976,0.604209522
ZNF140,0.223109523,6.27617067,0.189914697
MED21,-0.115875141,8.590598082,0.492913555
SNORD82,-0.043238464,5.021631092,0.822905984
POM121,0.006164811,4.613431144,1
ATG16L1,0.22087994,8.533370979,0.287768745
TUBB4B,0.350474424,5.052341427,0.092215966
AVEN,-0.175268157,7.563809007,0.143253004
CEP63,-0.227088524,5.798950497,0.211966376
CUL2,-0.16342268,6.411780486,0.142686649
ZNF614,0.266055632,4.512163012,0.126013915
SULT1A4,-0.400377682,7.940345216,0.15691025
ZNF703,0.089377071,6.269105354,0.56064023
BOD1L1,0.330837682,4.681276066,0.086340155
C1QA,0.077629658,4.987271168,0.702113602
ARHGEF9,0.066961361,5.127526013,0.632703827
WASH2P,0.132548227,5.711154913,0.254451385
NRXN1,-0.120269766,6.81408656,0.166330064
SGK1,0.00589621,5.383270505,1
NHP2,0.579206462,7.438155373,0.000261947
PTDSS1,-0.176179098,11.22005146,0.1255903
ZNF616,0.323994668,4.81909974,0.070747496
C15orf65,0.042902075,4.721675911,0.877233577
SMIM12,-0.048352566,4.643641492,0.815292515
IFT122,0.304063852,7.217409364,0.073487514
RTN3,0.13801625,5.206299231,0.326821487
SLC12A2,0.271969996,4.714521233,0.07255195
NRDE2,0.086358322,4.841160064,0.60952142
SLC35A5,0.146666619,4.670661945,0.406470503
NME7,-0.796866112,6.631370271,0.026703584
TMEM38A,-0.009679864,8.563229009,0.943037315
OLFML3,-0.035620357,4.689813787,0.81862582
HIST1H2AJ,0.515426783,7.410534946,0.019854052
MLLT11,-0.177941417,4.940878734,0.514122454
ZNF346,0.051802116,5.312824808,0.753482093
COL16A1,-0.424156452,11.10497074,0.369440615
SPON2,0.163821965,7.545356031,0.36502905
MYEOV2,-0.145684076,4.789404877,0.382074482
KANSL3,0.107029759,5.912608349,0.393945282
SETD8,0.206150913,5.420888739,0.222409931
AP1G1,0.100422685,4.780038953,0.492772969
FOXJ2,-0.05661038,6.780190319,0.659347393
SYNE2,0.748235263,10.46513108,0.333013151
