"","x"
"1",1
"2",0
"3",2.38623000462075e-75
"4",1
"5",8.09854212443048e-225
"6",3.48115603253674e-258
"7",1
"8",1
"9",1.19075494177272e-177
"10",0
"11",1
"12",1
"13",1
"14",7.64418000973195e-39
"15",2.00166395387789e-81
"16",1
"17",0
"18",0
"19",1.69837098696157e-152
"20",1
"21",1.06996055791657e-21
"22",2.09250831823071e-37
"23",1
"24",1.2764898002359e-19
"25",0
"26",8.74690341688664e-226
"27",1
"28",1
"29",1
"30",5.41007757356054e-282
"31",1.56216757479435e-75
"32",1
"33",0
"34",1
"35",1
"36",1
"37",9.70457232803401e-150
"38",1
"39",1
"40",0
"41",1
"42",5.63135641058186e-31
"43",0
"44",0
"45",1
"46",1
"47",1
"48",1
"49",1
"50",0.000423972753772926
"51",1.23314541056496e-40
"52",0
"53",1.05620819826277e-260
"54",1
"55",0
"56",1.73867170239814e-259
"57",1
"58",1
"59",1
"60",1
"61",1
"62",1
"63",1
"64",3.65838182590232e-28
"65",1
"66",2.8121304744967e-173
"67",3.45238944673114e-260
"68",0
"69",1
"70",0
"71",1.74691821039638e-271
"72",1.76838928884164e-170
"73",6.27665043875854e-137
"74",1
"75",2.45136004993509e-119
"76",1
"77",1
"78",2.84910991499704e-89
"79",1
"80",1
"81",0
"82",1
"83",0
"84",1
"85",1
"86",1
"87",0
"88",4.05087132075416e-45
"89",1
"90",1
"91",1
"92",2.55608718692201e-56
"93",0
"94",8.2266222049742e-80
"95",1.06748573688099e-39
"96",1
"97",3.3134194324106e-22
"98",1.42710432199189e-14
"99",1.21327751839685e-09
"100",1
"101",1
"102",0
"103",4.00170009099336e-59
"104",1
"105",1
"106",1
"107",5.22423431332288e-67
"108",1.15135442534743e-49
"109",1.88042164435919e-59
"110",7.66657440636294e-60
"111",1.50343549648517e-209
"112",0
"113",1.86252614378648e-236
"114",0
"115",1
"116",1
"117",1
"118",0
"119",6.42961151569307e-07
"120",1
"121",1
"122",1.7400679968269e-200
"123",0
"124",4.57754320950253e-245
"125",0
"126",1
"127",1
"128",9.19261569022147e-37
"129",1
"130",1.66738576627456e-125
"131",1
"132",3.1011677544532e-88
"133",1
"134",1
"135",4.06877070273346e-274
"136",1
"137",3.78857169708173e-79
"138",1
"139",1.54521266559889e-149
"140",2.67921369682419e-53
"141",1
"142",1
"143",0
"144",1
"145",2.79229403136195e-47
"146",0
"147",0
"148",1
"149",1.60055424438684e-09
"150",1
"151",1
"152",7.25844646466976e-164
"153",0
"154",0
"155",1
"156",1
"157",0
"158",8.93675633705185e-109
"159",1
"160",1
"161",1
"162",0
"163",1.16107651500848e-42
"164",0
"165",2.83460273686187e-35
"166",9.94741948755141e-33
"167",2.49970900294831e-168
"168",2.44669518100881e-08
"169",3.45170587098953e-183
"170",6.84157225549871e-253
"171",1
"172",1
"173",1
"174",1
"175",1
"176",3.48372785933131e-81
"177",1.42930964953497e-10
"178",9.52119075185471e-135
"179",1
"180",2.55031161028358e-243
"181",1
"182",4.02999492191418e-133
"183",1
"184",1.41681846910768e-196
"185",0
"186",1
"187",8.20576126825087e-118
"188",1
"189",8.12330952996914e-87
"190",2.12657843853123e-215
"191",4.78226861494927e-05
"192",1.2801235647068e-141
"193",3.47531533212416e-134
"194",1.73344873986401e-22
"195",1
"196",1
"197",1.67617861100424e-278
"198",0
"199",1.76702686002665e-59
"200",0
"201",3.50220731731292e-11
"202",5.68597676475939e-115
"203",4.84691207006288e-48
"204",2.17383358054493e-14
"205",3.43426054387088e-29
"206",1
"207",1.23361601118824e-279
"208",5.47370569947302e-52
"209",1.78841132703437e-114
"210",1
"211",1
"212",8.01639976796972e-104
"213",2.0469180244306e-74
"214",1
"215",8.87018306269283e-11
"216",1
"217",1
"218",2.08636704980434e-299
"219",1
"220",1.10492458665901e-121
"221",3.49230519516524e-55
"222",1
"223",1
"224",5.60795308883151e-201
"225",1
"226",1
"227",4.43333303640372e-15
"228",1
"229",1
"230",1
"231",2.92170314543212e-119
"232",2.400029381258e-194
"233",2.10124661660283e-174
"234",1.524581728352e-107
"235",1.1613351002751e-40
"236",1
"237",3.2103996732144e-06
"238",1
"239",0
"240",1
"241",0.000398871460896629
"242",0
"243",1.11588390587805e-229
"244",6.54567009807153e-134
"245",1
"246",2.51800831745908e-60
"247",1
"248",1.6099106315505e-182
"249",9.41071769116096e-219
"250",1
"251",1
"252",3.36392185249372e-23
"253",1
"254",4.2216635220583e-154
"255",1.45133751132575e-58
"256",1
"257",1
"258",2.55405800653053e-28
"259",2.63259367035859e-16
"260",0
"261",9.26984793183942e-74
"262",1
"263",1
"264",1
"265",3.41933604617945e-68
"266",1.68721086912346e-31
"267",0
"268",1
"269",1
"270",1
"271",6.02590392160011e-44
"272",1
"273",9.28595531270607e-50
"274",2.72302614347568e-59
"275",6.7833587935679e-113
"276",1
"277",1
"278",1
"279",1.18553884941704e-42
"280",1
"281",1
"282",1
"283",1
"284",1
"285",1.32140190372341e-77
"286",1.34072804593024e-18
"287",1
"288",4.16643422091813e-05
"289",1
"290",0
"291",3.80444367172105e-34
"292",1
"293",1
"294",1
"295",1
"296",2.44165601935267e-68
"297",1.71943293303343e-59
"298",1.9911848576433e-63
"299",0
"300",0
"301",3.65240978463589e-66
"302",1
"303",2.64002310084518e-148
"304",8.15560944971466e-145
"305",1
"306",1
"307",1.93447565100975e-32
"308",9.44920749624911e-260
"309",1
"310",1
"311",1
"312",3.3306369724668e-103
"313",1
"314",1
"315",0
"316",0
"317",1
"318",1
"319",5.02594237188117e-07
"320",2.36491654975284e-98
"321",1.7063868702842e-75
"322",1
"323",1
"324",1
"325",1
"326",1
"327",1
"328",0
"329",0
"330",7.02242483879328e-47
"331",1
"332",1
"333",0
"334",4.47780734786221e-118
"335",3.68129739349127e-91
"336",1
"337",1
"338",1
"339",2.87920876287404e-97
"340",1
"341",6.58528112502528e-13
"342",0
"343",1
"344",1
"345",1.08938113650317e-96
"346",1.46053250731036e-08
"347",0
"348",1
"349",0
"350",0
"351",1
"352",1.98790235190349e-170
"353",4.26714409707886e-254
"354",2.58228097866522e-63
"355",1
"356",1
"357",1.34291371637315e-181
"358",0
"359",0
"360",1.13571702461462e-59
"361",5.90709720592978e-80
"362",1
"363",1
"364",1
"365",4.21653923029994e-301
"366",1.06794123939165e-136
"367",1
"368",1
"369",1
"370",6.84338656553993e-80
"371",1
"372",1.21669608033998e-93
"373",0.00444113756119108
"374",2.24952636515223e-39
"375",0
"376",3.08038045988868e-46
"377",1
"378",1
"379",0
"380",1
"381",1
"382",1.89045214081222e-209
"383",0
"384",2.31498560199165e-10
"385",8.55889915244932e-23
"386",1
"387",6.85847383086575e-216
"388",5.05112375932981e-57
"389",1
"390",1
