"","x"
"1",0.463542091040774
"2",0.031524787889964
"3",1
"4",0.296293561962542
"5",0.0312743085338252
"6",0.41746166328736
"7",0.287609631844811
"8",0.705549462675181
"9",0.113491947092786
"10",0.843730999805331
"11",0.891070565741007
"12",0.795029698641587
"13",0.809484879551895
"14",0.0126016217296602
"15",0.845880096830243
"16",0.871466355569703
"17",0.292675586135057
"18",0.452917081122915
"19",0.155893887490639
"20",0.834752193067262
"21",0.643031925201572
"22",0.000976160217333744
"23",0.68894936641665
"24",0.0837930446637048
"25",0.703044705403945
"26",0.618665283771034
"27",0.377835945472567
"28",0.984154611216847
"29",0.447256984333402
"30",0.534737385853222
"31",0.2911522337685
"32",0.92014475526653
"33",0.0361755942473633
"34",0.985533516326456
"35",0.836894839533887
"36",0.518392489136282
"37",0.787406617925718
"38",0.94423110859003
"39",0.747286209886767
"40",1
"41",0.678578904753967
"42",0.00575700614615033
"43",0.775219023702078
"44",0.75322838570652
"45",0.298312381274021
"46",0.72521434763749
"47",0.64894208888061
"48",0.872562237033027
"49",0.979862382451072
"50",7.64790344526158e-58
"51",1.10451374164741e-05
"52",0.161794883024736
"53",0.374868833416446
"54",0.485912313455991
"55",0.217227308880437
"56",0.302944281434604
"57",0.752598043577233
"58",0.260757354957558
"59",0.845196690649025
"60",0.931732470549513
"61",0.968185802294928
"62",0.729821359455021
"63",0.328399642263126
"64",0.00962159827700639
"65",1
"66",0.398396939348556
"67",0.432826946503154
"68",0.371441004288762
"69",0.540742848139957
"70",0.188081150910628
"71",0.666511928522332
"72",0.37973226718329
"73",0.564622974615005
"74",0.681294229544879
"75",0.754896067407841
"76",0.572266957323791
"77",0.860377680772426
"78",0.563841176808548
"79",0.464341745203304
"80",0.547008541494281
"81",0.398109959853716
"82",1
"83",0.645116577006139
"84",0.311555044924311
"85",0.335871519398863
"86",0.332172841566448
"87",0.0872527034823855
"88",0.578875112744588
"89",0.06704664976633
"90",0.713179620566459
"91",0.140370242387137
"92",0.290408877944644
"93",0.456743907427888
"94",0.857842972102789
"95",0.901415423159597
"96",0.670691941662881
"97",0.326757145947206
"98",0.000727442747015117
"99",4.41708560336897e-06
"100",0.964735288315777
"101",0.518699023919694
"102",0.768379113934323
"103",0.358538100710986
"104",0.963125143876436
"105",0.897855824597129
"106",0.88645681176008
"107",0.74855262026744
"108",0.20524671058032
"109",0.0023718355496897
"110",0.198464839323476
"111",1
"112",0.150590632166083
"113",0.804250679722668
"114",0.536430447750802
"115",0.61214991678311
"116",0.403480908718876
"117",0.511813214995644
"118",0.981245641973795
