PGP1,GM23716,GM23720,GM25256,BXS0110,BXS0111,BYS0112,BXS0114,BXS0115,BXS0116,BXS0117,902,14758x3,14799x1,14824x13,14763x7,14739x3,14765x2,14710x6,14781x16,14746x8
3.364484667,3.459477333,3.754729333,2.684129,3.503605,4.306346,3.855680333,2.790217333,3.599398667,3.688352,3.655805333,5.902851333,5.059733,5.315117667,4.728545,4.695829667,4.947737,5.933289667,2.784555,5.797536,3.505618834
9.831717,11.799205,6.104764333,7.752642667,6.184498333,5.324927333,5.259864667,6.187198333,7.460045667,7.763461333,6.972208333,5.562975667,6.487813,4.449255,4.976488,3.198640333,2.882334,5.694037333,6.334495,6.938644667,5.084609667
5.504094,8.018209,5.564331333,5.283909,6.484438667,4.151195333,7.420596333,5.008889333,3.289382333,6.508348667,7.089656333,7.231759333,4.846325333,8.059598,5.367638,7.359943,8.450115,8.578719,9.19367,7.724416333,7.075463167
3.712332667,3.429704667,3.603031667,3.357728667,3.065554,2.789133667,4.349911333,3.953585667,2.075708,2.380954,3.86915,4.094496667,3.434424333,6.866810667,5.141972333,3.889930333,4.340783,4.882152667,2.511982,3.801363667,2.681848
6.715035333,9.956286667,3.657294333,4.347423667,3.014204,2.777229667,3.202659,4.761074667,3.564695333,3.777514333,4.898054333,3.242705333,4.173912333,2.149421667,3.893730333,2.524121333,1.9997675,2.744296333,3.452511,5.039477,2.185691667
5.321522667,4.249626667,3.474407333,5.101506333,7.968330667,7.108979667,7.069576667,7.402053,6.128671667,8.935489333,6.278882667,4.703595333,10.50730867,10.82662133,5.454702667,10.89396033,6.454012,10.56219867,5.333041,5.622736333,5.401597834
15.845325,14.42120067,11.093597,12.78700033,7.858868667,8.447656333,10.66891633,10.82487367,8.393837,10.762811,14.58755567,12.675642,9.385153333,8.172594667,11.27600933,8.901076,5.938429,8.375476,12.356577,17.050872,9.748462335
12.54378967,13.82523967,9.830141,8.117835,7.850073,6.952390333,9.163053667,9.142413,6.591022,7.182192667,11.59189567,10.55723167,8.068467333,9.172068,9.240495667,8.749336667,8.0252875,9.910626333,6.491001,11.809732,6.743448335
15.62880733,9.887486,13.761988,13.73294233,13.664476,10.61468267,13.478352,18.06543533,11.588101,8.512977333,13.04366933,13.337633,20.660048,21.948038,18.58026633,16.95560733,18.794372,16.612021,10.147322,9.541130667,12.6157975
27.40384167,24.37410333,18.84671467,23.47261833,16.39538567,17.18181067,20.22338967,23.991516,22.59366933,17.43213533,22.591563,23.581959,30.165973,21.46458767,22.790101,17.74613967,17.890515,20.00271467,21.670875,21.429735,16.46923234
