"","x"
"1",0.721308084651679
"2",0.80883657188915
"3",0.336299658132412
"4",0.911576166270972
"5",1
"6",0.451575429489749
"7",0.493901354259538
"8",0.788009786182976
"9",1
"10",1
"11",0.766831076960246
"12",0.870408621927266
"13",0.677366111555038
"14",0.458143780055073
"15",0.500372605747938
"16",0.920344651541675
"17",0.853565941463723
"18",0.697815245658325
"19",1
"20",0.769039617160997
"21",0.671325180577429
"22",0.302948185814741
"23",0.663796421060851
"24",0.90361583586311
"25",0.624478624207978
"26",0.537923311824125
"27",1
"28",0.569803501907667
"29",0.72263499326808
"30",1
"31",0.70687696697617
"32",0.933261815068965
"33",0.264259535533125
"34",1
"35",0.612758783144986
"36",1
"37",0.666851587377157
"38",0.842008797324482
"39",0.842940674374068
"40",0.841539422532204
"41",1
"42",0.0232083286198279
"43",1
"44",1
"45",1
"46",0.632594946177896
"47",0.883182245994281
"48",0.738733305261299
"49",0.346591322923168
"50",1.62897702977449e-06
"51",0.847534467115815
"52",0.747858780879278
"53",0.334007098433076
"54",0.590433392479151
"55",0.651971937008255
"56",0.942024226707894
"57",0.979530746321377
"58",0.494908916689592
"59",0.834645885107718
"60",0.698710098376508
"61",0.770668429596584
"62",1
"63",1
"64",0.141418085206874
"65",0.634342311240444
"66",0.93673013098419
"67",0.62941049106979
"68",0.686827231507311
"69",0.66382339523494
"70",0.680909783810452
"71",0.744176067998351
"72",0.647543917242279
"73",0.676511552958508
"74",0.569803501907667
"75",0.932583949709597
"76",1
"77",0.895485050916417
"78",0.796427599981746
"79",0.769340786092559
"80",0.700659952621598
"81",0.889188518889615
"82",0.867966114548985
"83",0.70390335372624
"84",1
"85",0.754869538893876
"86",1
"87",0.701575631245445
"88",1
"89",0.237913290529974
"90",1
"91",1
"92",0.765137562148676
"93",1
"94",1
"95",0.762385017041457
"96",0.225069579097356
"97",0.570557252957964
"98",0.360869951445305
"99",0.0397267956399222
"100",0.793331221281389
"101",1
"102",1
"103",0.454590266462717
"104",0.729624145529241
"105",1
"106",0.713252231799207
"107",0.754660747273221
"108",0.92874307742886
"109",0.920344651541675
"110",0.553448501274463
"111",0.982515345789341
"112",0.819771986208392
"113",0.667294486541301
"114",0.718410959868319
"115",0.498337063694724
"116",0.927713118352841
"117",0.736948664894911
"118",0.743518147335505
"119",1
"120",0.940619386753806
"121",0.491729272957586
"122",1
"123",0.148143066063391
"124",0.369356362201906
"125",0.998027516437065
"126",1
"127",0.867075402647179
"128",0.718331198452775
"129",0.876599725140649
"130",0.828030732745706
"131",0.94592709934132
"132",0.67014468203833
"133",1
"134",1
"135",0.572717746907474
"136",0.578118878588234
"137",1
"138",0.853565941463723
"139",0.667038818390691
"140",0.56286689422029
"141",0.867331306564942
"142",1
"143",0.465432033625542
"144",0.676784513965383
"145",0.76516084196261
"146",0.598649353656456
"147",0.714619782219311
"148",0.578885110826435
"149",0.913772361206315
"150",0.29710345603514
"151",0.114911704177994
"152",0.807955686971788
"153",0.848652530371903
"154",0.975590685024531
"155",1
"156",0.959826483000942
"157",0.674694663095362
