"","logFC","logCPM","LR","PValue"
"7",-15.4863039353732,4.88025856939516,-77680003.7852083,1
"8",-15.6150712423656,4.67050210548122,-77686846.7150329,1
"9",-14.6836206193432,5.18999371006149,-77615965.6837,1
"10",-14.2643032363703,5.76485723707744,-77568743.1986461,1
"11",-15.1599264481475,4.96502526170858,-77657826.7498552,1
"15",-14.4264401724812,5.63327223324188,-77590404.8928026,1
"21",-11.4866737062839,8.44680172065111,451.973413038973,2.68317108483113e-100
"24",-12.5867297475666,7.19753184339249,803.681028717368,8.54557915108704e-177
"25",-13.6205903045815,6.37126848200216,-77463048.247527,1
"26",-14.661483410818,5.33695872618309,-77616965.0467722,1
"30",-15.5121999757415,4.6141477323608,-77679961.4337982,1
"31",-9.34829500358347,10.4522422608367,1102.33457617443,1.02678245052807e-241
"35",-15.1405324272968,4.98070407015541,-77657541.4355392,1
"39",-15.3093539593788,4.81528775922188,-77668609.6040378,1
"40",-15.0324204819964,5.10663759251078,-77649871.9708064,1
"43",-14.7349929674927,5.42077510501397,-77622488.2353711,1
"51",-14.9325085061269,4.59980005768248,933.650854636625,4.74981612142085e-205
"52",-15.2204400964186,5.17916949218831,-77663394.0013554,1
"53",-14.0583501499332,5.83610516697775,-77535568.757079,1
"55",-14.7230517029795,5.21428174224729,-77620042.83705,1
"56",-13.6058234001235,6.57998330690943,4356.28869298261,0
"61",-15.4398807675321,4.73750183073372,-77676676.9044503,1
"65",-15.1820732407819,4.97136305127612,-77659427.0382514,1
"67",-15.6113480211301,4.76831745498017,-77688269.5382643,1
"71",-15.2194768873627,4.9009387692477,-77664856.8714795,1
"72",-12.6146626619663,7.50931390021311,2120.74606040977,0
"73",-14.5520308239289,5.44829987974361,-77603443.1658141,1
"76",-14.8297587645056,5.21254837399065,-77631376.0541945,1
"78",-13.7223274490792,6.40763324836951,3428.82423870859,0
"81",-14.7519563431325,5.21674214849431,-77625364.8740235,1
"83",-15.0758943251443,5.10880922527537,-77653577.2762256,1
"88",-12.2601061128233,7.65832454605417,929.137036182214,4.54872976522299e-204
"93",-14.126458734489,5.80256643784796,-77548266.2788331,1
"94",-13.5590343185917,6.47160906566261,2320.3223051793,0
"101",-10.4784405080137,9.32636775124153,754.768947711795,3.68523333293713e-166
"105",-11.1643042051779,8.7172001641969,1119.55921601628,1.8528259887812e-245
"111",-14.4270740557206,5.64267253894635,-77592824.892478,1
"112",-14.302766031038,5.67800570792571,-77573200.3362455,1
"116",-15.6573934747326,4.60370776690771,-77687757.3496167,1
"122",-15.0173401005131,4.96116560645097,-77647285.8014815,1
"123",-14.3893567720254,5.54393564636593,-77585292.3146155,1
"128",-12.8657281131075,6.94235926495066,5616.87697480629,0
"130",-12.8356017719713,7.13253604164729,1355.37349184462,1.04707193535517e-296
"133",-14.6244010998129,5.4157624930721,-77613387.1947136,1
"135",-14.8328677150064,5.15710990927199,10598.3173334609,0
"137",-15.3581998932452,4.89369801753687,-77673646.880904,1
"138",-12.9129799936228,6.80472121614112,1480.92299120615,4.94065645841247e-324
"139",-15.2814778920012,4.7836679105793,-77666627.7821797,1
"145",-14.4774781547539,5.4912332609197,-77595341.3746301,1
"147",-13.6089957519767,6.37244963749629,772.462172699405,5.24096786314148e-170
"148",-15.5034778967667,4.76139990326876,-77683082.8987742,1
"150",-13.8825172625938,6.11166247125513,-77517522.2896522,1
"152",-14.0852498551048,5.82914897572043,-77544735.0992864,1
"155",-15.2398055476789,5.01843619983591,-77664405.0027327,1
"156",-14.4909946916173,5.49608128218029,-77597367.7127083,1
"161",-14.0278064203215,5.57815111662,1259.74836222198,6.31790287081263e-276
"164",-15.0867737969227,5.21175004568511,-77657977.9140204,1
"165",-13.9190147543719,6.25934577119655,126148.703737462,0
"167",-13.2261397221549,6.80984440746328,4547.04646852967,0
"168",-14.032587202894,5.94160150866256,-77540170.7897931,1
"172",-15.012999067132,5.12554723650499,-77647165.0540413,1
"175",-12.7308920701233,7.84028897916227,99.2117080784511,2.26901647958395e-23
"176",-15.7250399386248,4.63529900255369,-77692332.5992618,1
"180",-12.1682592091321,8.024322262958,1077.27211865992,2.87545661267117e-236
"182",-14.6311554443921,5.29807488187415,-77613503.7783958,1
"183",-15.9222038613718,4.53862739663676,-77702571.8650875,1
"187",-15.4843512897196,4.73069766747338,-77681342.1789618,1
"189",-7.35438159328903,11.9563994733189,110.103159996418,9.30216661489196e-26
"190",-15.6662188700589,4.70676061381488,-77690744.4953719,1
"191",-13.8168139401293,6.12890405243016,-77501567.0557935,1
"195",-13.4743187605356,6.47785403935528,10845.3361451464,0
"196",-15.4427330121393,4.71215065208685,-77676807.9045935,1
"197",-14.5285293623868,5.75307394079538,1899.15660729776,0
"198",-15.1370837785944,4.99720402941495,-77657526.5491291,1
"199",-13.2889619662708,6.17053268077637,233.620198735829,9.67974217407978e-53
"200",-15.7634666403835,4.74637188855982,-77694894.418483,1
"201",-15.9664318872696,4.54821104503619,1820.82590721458,0
"203",-14.081256166689,5.63443029348961,1057.33167897933,6.20537167691963e-232
"206",-15.3677787310151,4.97685449662437,-77675085.8809421,1
"207",-15.4456738867401,4.88820833434517,-77678032.3140091,1
"210",-15.1280210834286,4.93034948728862,-77653993.6429245,1
"211",-13.0285155093505,6.9464925343255,3518.54365326877,0
"213",-14.6122632910535,5.49521334698448,681.573371759333,3.03928689129554e-150
"218",-14.1674989090127,5.86403317380534,-77555737.9097246,1
"221",-15.4174376489519,4.81302493253412,-77675302.1954718,1
"222",-14.9349719252147,4.9482519643774,3163.53838453311,0
"229",-12.8923615637557,7.04110884469054,8266.38190317088,0
"230",-15.6177951213236,4.765185257181,-77687807.7035467,1
"232",-13.3700588303664,6.94271163647521,672.49231208664,2.86815655871112e-148
"234",-14.7099474701755,5.04069410708038,14.7771842454177,0.000120990566214601
"236",-13.3614649742454,6.58460502985383,13646.3727984234,0
"240",-13.9152277504175,6.11515500603272,8560.60121037248,0
"243",-12.9395993769585,7.20184044824496,1536.11491436081,0
"245",-15.6783932168511,4.64041250937112,-77689247.3461912,1
"249",-13.4347527559984,6.77915314648148,1074.49210823489,1.15594845600045e-235
"251",-13.5855941428708,6.41959122378951,6409.90460311589,0
"255",-13.3769731248,6.44609650032493,309.813840593401,2.39760868993723e-69
"256",-12.8489150370974,7.1840948599414,350.382424123144,3.49833555035887e-78
"257",-15.1435489095392,4.97112813977422,-77658437.5916401,1
"258",-13.9410206505342,6.33502303412989,1539.17693213685,0
"259",-15.4180565637913,4.7288446606184,-77675844.4578543,1
"264",-14.5425994061966,5.49052531706609,-77604701.8642541,1
"268",-11.6708670409534,8.31229633375106,926.144701962177,2.03407151006492e-203
"270",-14.1710698463866,5.94024172960808,989.649881711102,3.1916864353108e-217
"272",-13.9555235075923,6.00023165038345,-77525361.8489156,1
"275",-11.5522494071102,7.97795884313126,612.874541960677,2.651750644334e-135
"278",-15.4474612811003,4.78653961217633,-77677189.2273264,1
"279",-15.4027836439495,4.80446451630383,-77674271.3145559,1
"286",-15.4963212015869,4.69136965392433,-77679120.1945523,1
"287",-15.0542075282291,5.15657690001455,183.287352093884,9.28309965537057e-42
"288",-15.0821479699875,5.07012656836453,-77653779.1734731,1
"292",-13.3173959664969,6.70166059285251,2395.44296857065,0
"293",-12.2704179789131,7.54301481841252,1338.1639326203,5.75116133631652e-293
"295",-14.3998192785616,5.7013114455796,-77586990.8353326,1
"296",-14.7238295839585,5.46141928371219,-77622201.3223175,1
"297",-15.5050367240129,4.48339408813692,6414.48254589325,0
"303",-15.2925453740797,4.91092127524849,162.377599406105,3.42132777891044e-37
"304",-14.6064328657896,5.52520214833621,-77614631.7067321,1
"308",-13.9375998699139,6.27633281351648,4024.43204740643,0
"317",-11.2702863673131,8.55765485972214,692.470799633839,1.2971518843775e-152
"318",-15.0873028219723,5.01040963911211,-77653174.5173585,1
"325",-15.6243404723799,4.59363200431849,-77689524.3757352,1
"326",-11.5947874138986,8.53037586591723,506.967652780139,2.89714622947486e-112
"329",-15.3398449955395,4.96019138482425,-77669348.0211827,1
"330",-12.2727947776333,7.55928025339386,1860.56021156756,0
"331",-14.0826767839609,5.82225412698858,2601.0307028257,0
"335",-13.4832962865015,6.41143582276452,8728.60654898657,0
"336",-15.9274358719004,4.48283336703548,-77701376.3057836,1
"337",-11.7301694485387,7.99591519671006,311.977029951697,8.10114430642514e-70
"341",-13.8334611841002,6.23976082722339,4904.93328940723,0
"345",-15.2040434990748,4.93492915672854,-77662896.8296424,1
"346",-15.056254657534,5.12423219664115,-77650564.0942864,1
"349",-14.4478774404468,5.7095889274801,-77593819.2543424,1
